Accuracy,Ranked_kNN,Points,Dim,Score,Lac
0.7647862183845127,0.019638242894056846,3096,3,0.05346683893195521,0
0.83119061213038,0.02622739018087855,3096,5,0.1053832902670112,0
0.9314982777675472,0.09323858742463394,3096,10,0.34780361757105943,1
0.9704087278463503,0.22607665805340224,3096,15,0.5573643410852713,276
0.9875028414242802,0.3481912144702842,3096,20,0.6909991386735572,276
0.9941120713793808,0.44089147286821706,3096,25,0.7723083548664944,203
0.9965425997819917,0.5130490956072351,3096,30,0.8222222222222222,276
0.9978810332441735,0.5657192075796726,3096,35,0.852885443583118,1662
0.9987616785691162,0.6098621877691646,3096,40,0.8805986218776917,1662
0.9992114714779863,0.6433462532299742,3096,45,0.8983634797588286,2337
0.9995187447113071,0.6844530577088717,3096,50,0.919207579672696,1228
0.9996938829565836,0.7285099052540913,3096,55,0.9374461670973299,2326
0.9997828675359534,0.7467700258397932,3096,60,0.9474806201550388,2584
0.999841188557616,0.766322136089578,3096,65,0.9553832902670112,2467
0.9998988298797591,0.784625322997416,3096,70,0.9645348837209302,2920
0.9999257585937144,0.790374677002584,3096,75,0.9692721791559001,2467
0.9999383925961243,0.7984496124031008,3096,80,0.9727174849267872,2194
0.9999530096394005,0.8030792420327304,3096,85,0.9763350559862187,683
0.9999658678725798,0.8096683893195521,3096,90,0.9803186907838071,1980
0.9999688109014273,0.81442721791559,3096,95,0.9831180017226528,2919
0.999974703966334,0.8179801894918174,3096,100,0.9852928509905254,559
0.9999788242067206,0.8226959517657192,3096,105,0.9870585701981051,559
0.9999822156971069,0.8194013781223084,3096,110,0.9881352282515073,2920
0.9999850816466275,0.8244616709732989,3096,115,0.9902024117140397,660
0.999986924543263,0.8239664082687338,3096,120,0.9905254091300603,2920
0.9999874360697055,0.8263565891472868,3096,125,0.991838931955211,1991
0.9999889356129754,0.8276701119724376,3096,128,0.9921834625322997,2920
